identifier;count
axes;704
real;702
device;701
mb;700
Size;700
cond_type;700
constraints;699
getfield;698
func;697
Nx;697
ldc;696
Flux;696
start;696
mod;690
cusolver_int_t;690
Exponential;687
AbstractFloat;686
MIME;683
order;682
incx;682
𝒪est;680
ENV;678
internalnorm;675
IOBuffer;675
libcublas;673
dim;672
uprev2;669
tspan;669
hash;667
Δt;661
config;655
Dates;653
seed!;649
Dual;647
cuda;647
eachindex;647
vi;646
cublasStatus_t;644
ArchiveSource;642
isnothing;637
last;637
block;637
PyObject;634
open;634
sort;633
tol;631
supported_platforms;626
cusolverDnHandle_t;625
cell;624
nv;623
ZZ;622
d1;621
children;621
replace;620
ErrorException;620
root;618
set;616
Center;615
norm;615
tracers;614
target;612
topology;611
csrSortedRowPtrA;610
prod;608
saved_JJ;607
OrderedDict;607
Complex;606
k7;605
ys;604
zip;604
Makie;603
ForwardDiff;601
Threads;600
cublasFillMode_t;599
GObject;599
left;599
C_NULL;598
d_x;597
Blob;596
csrSortedColIndA;594
E;592
c4;592
x0;588
addr;588
step;586
theme;584
run;583
κ;582
diag;581
side;581
test_matrix_approx_eq;581
z₁;577
input_dataset_;576
threads;575
CuMatrix;575
attr;573
pBuffer;572
sizeof;572
SA;571
utilde;570
headers;570
constvalue;570
attributes;568
pointer;567
field;567
ComplexF64;566
constraint;566
inds;565
stream;565
SquareRoot;562
iszero;560
__DIR__;559
printf;558
Plots;558
any;558
T1;555
GroupedDataFrame;553
m1;553
vars;553
n_curr;551
architecture;551
test_convergence;551
Variable;550
libc;550
Nz;549
DiffEqBase;546
dfr;546
tr;546
transA;545
Documenter;545
stop;545
n_regimes;544
velocities;544
adaptive;539
calck;539
nodes;538
div;537
observables;537
dot;537
fig;536
dB;535
MethodError;533
ds;531
testTol;530
url;528
transpose;528
position;528
mul!;527
dest;527
tuple;526
kdu;526
Cell;526
to;524
csrSortedValA;524
linewidth;522
dy;522
rhs;521
req;520
kshortsize;520
cublasHandle_t;519
mass_matrix;518
eqs;517
strides;516
space;514
pad;513
pt;511
ticks;510
repo;510
cudnnStatus_t;509
results;509
llvmcall;508
inv;507
repeat;507
QQ;507
